scenario,variant,runs,playlist_success_rate_mean,playlist_success_rate_median,playlist_success_rate_p95,playlist_success_rate_min,playlist_success_rate_max,playlist_success_rate_stdev,segment_success_rate_mean,segment_success_rate_median,segment_success_rate_p95,segment_success_rate_min,segment_success_rate_max,segment_success_rate_stdev,session_failure_rate_mean,session_failure_rate_median,session_failure_rate_p95,session_failure_rate_min,session_failure_rate_max,session_failure_rate_stdev,segment_p50_ms_mean,segment_p50_ms_median,segment_p50_ms_p95,segment_p50_ms_min,segment_p50_ms_max,segment_p50_ms_stdev,segment_p95_ms_mean,segment_p95_ms_median,segment_p95_ms_p95,segment_p95_ms_min,segment_p95_ms_max,segment_p95_ms_stdev,segment_p99_ms_mean,segment_p99_ms_median,segment_p99_ms_p95,segment_p99_ms_min,segment_p99_ms_max,segment_p99_ms_stdev,stall_events_mean,stall_events_median,stall_events_p95,stall_events_min,stall_events_max,stall_events_stdev
cold-cache,adaptive,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2952175,1.2651075,1.36180215,1.247999,1.372546,0.06751257569705069,26.64762966666666,5.462010649999994,63.71895997999999,4.288924,70.19195434999999,37.715052593994436,338.3819775966667,503.39338609000004,504.15180313900004,7.516474999999993,504.2360717,286.53824026849884,0.0,0.0,0.0,0.0,0.0,0.0
cold-cache,baseline,3,0.9906273881751605,0.9905660377358491,0.9911963417648513,0.9900497512437811,0.9912663755458515,0.0006106280213025268,1.0,1.0,1.0,1.0,1.0,0.0,0.01857067986620033,0.018691588785046728,0.019603149026287923,0.017316017316017316,0.019704433497536946,0.0011987898852712498,1.173678,1.1761,1.205665,1.135984,1.20895,0.036543246325415515,5.21982273333333,4.1135047,7.232483049999994,3.966927299999997,7.579036199999994,2.0444528288820196,177.72324084666835,23.566539420004993,454.51561480200047,7.2043377200000025,502.3988454,281.29631450691187,0.0,0.0,0.0,0.0,0.0,0.0
disconnect,adaptive,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1572924999999998,1.169828,1.19227445,1.107281,1.1947685,0.045070719255964835,4.470932799999997,4.620982799999992,4.626905519999998,4.164252000000001,4.627563599999999,0.2656137450295793,212.3060669000015,129.47884240000445,464.5898509900004,5.614950800000002,501.8244075,258.2657895819866,0.0,0.0,0.0,0.0,0.0,0.0
disconnect,baseline,3,0.26501863248496843,0.2629969418960245,0.2732509137017976,0.2576687116564417,0.27439024390243905,0.008542121211476147,1.0,1.0,1.0,1.0,1.0,0.0,0.847231208215133,0.8485915492957746,0.8517605633802816,0.8409893992932862,0.852112676056338,0.005685043304903058,1.3037150000000002,1.348076,1.3763306,1.183599,1.37947,0.10520116872449656,4.638987449999999,4.5197486,5.109965854999997,4.2216682,5.175545549999997,0.4879896794223686,6.791258823333333,6.7775872299999955,6.896210515000006,6.686798359999997,6.909390880000007,0.11192426831653991,0.0,0.0,0.0,0.0,0.0,0.0
latency,adaptive,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3735486666666665,1.309071,1.5906549,1.189633,1.621942,0.2232505207033868,4.570347133333332,4.5342055000000006,4.739053329999997,4.415021699999999,4.761814199999997,0.17619853222732298,208.80638841332848,116.86630101998541,463.9349109219985,7.054774420000004,502.4980898,260.2032944470596,0.0,0.0,0.0,0.0,0.0,0.0
latency,baseline,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2745863333333334,1.2731949999999999,1.3365909999999999,1.206929,1.343635,0.06836361945752531,502.14863658333326,502.1832238,502.30829909499994,501.9404896,502.32219634999996,0.19318958930658772,503.4444634266667,503.38094692,503.61920298399997,503.30676748,503.64567588,0.17815859749669846,0.0,0.0,0.0,0.0,0.0,0.0
pod-down,adaptive,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2314725,1.212043,1.26511645,1.211361,1.2710135,0.0342452083034985,4.433997516666667,4.486099,4.668386575,4.1272528,4.68864075,0.28429743408172176,290.1553124299966,260.2517162899955,477.22046990899946,108.88611179999442,501.3281092,197.9225836720123,0.0,0.0,0.0,0.0,0.0,0.0
pod-down,baseline,3,0.5990407346790326,0.6153846153846154,0.7126022913256955,0.45833333333333337,0.7234042553191489,0.13328912276698093,1.0,1.0,1.0,1.0,1.0,0.0,0.5638638638638639,0.5555555555555556,0.687987987987988,0.43333333333333335,0.7027027027027027,0.13487674105946648,1.4255761666666666,1.522603,1.55069785,1.2003059999999999,1.5538195,0.1957130641029958,6.896662216666667,6.944221000000001,8.681593285000002,4.871130999999999,8.874634650000003,2.002175503619737,8.11972254,7.738901800000001,9.990259296999998,6.379855690000003,10.240410129999997,1.9582488281782597,0.0,0.0,0.0,0.0,0.0,0.0
