run_id,variant,scenario,repetition,profile,git_commit,coredns_image_id,host_hardware,playlist_success_rate,segment_success_rate,session_failure_rate,segment_p50_ms,segment_p95_ms,segment_p99_ms,stall_events,iterations
baseline-disconnect-03-20260829T032942Z,baseline,disconnect,3,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,0.2584615384615384,1.0,0.8515901060070671,1.175763,4.765309699999994,6.5387248499999915,0.0,283.0
baseline-latency-01-20260829T032743Z,baseline,latency,1,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.233169,501.891366,503.50834768,0.0,169.0
baseline-latency-02-20260829T032807Z,baseline,latency,2,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.3072475,501.7896522,503.53340691,0.0,180.0
baseline-latency-03-20260829T032830Z,baseline,latency,3,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.346725,502.5135047,504.30426556,0.0,183.0
baseline-pod-down-01-20260829T033005Z,baseline,pod-down,1,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,0.7282608695652174,1.0,0.43103448275862066,1.436762,7.2873882,17.419687719999995,0.0,58.0
baseline-pod-down-02-20260829T033138Z,baseline,pod-down,2,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,0.45833333333333337,1.0,0.7027027027027027,2.507005,7.8232095,8.3096539,0.0,37.0
baseline-pod-down-03-20260829T033309Z,baseline,pod-down,3,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,0.6376811594202898,1.0,0.5319148936170213,1.3640664999999998,8.080362599999997,11.034538379999997,0.0,47.0
static-rendezvous-cold-cache-01-20260829T034248Z,static-rendezvous,cold-cache,1,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.3292925,5.388818999999999,242.45400379999947,0.0,254.0
static-rendezvous-cold-cache-02-20260829T034311Z,static-rendezvous,cold-cache,2,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.361037,6.79187165,501.9568842,0.0,262.0
static-rendezvous-cold-cache-03-20260829T034334Z,static-rendezvous,cold-cache,3,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.279633,5.309880999999998,501.86437648,0.0,273.0
static-rendezvous-disconnect-01-20260829T033715Z,static-rendezvous,disconnect,1,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.2274945000000002,6.779913849999999,502.61343039999997,0.0,262.0
static-rendezvous-disconnect-02-20260829T033739Z,static-rendezvous,disconnect,2,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.205599,3.6404629999999987,169.17324656000397,0.0,277.0
static-rendezvous-disconnect-03-20260829T033803Z,static-rendezvous,disconnect,3,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.4614185,8.50925605,503.38513487,0.0,264.0
static-rendezvous-latency-01-20260829T033604Z,static-rendezvous,latency,1,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.207894,4.437021599999998,127.72923428000449,0.0,277.0
static-rendezvous-latency-02-20260829T033628Z,static-rendezvous,latency,2,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.3204224999999998,5.258790399999999,503.91968227,0.0,272.0
static-rendezvous-latency-03-20260829T033651Z,static-rendezvous,latency,3,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.294198,6.9622326999999995,502.51731393999995,0.0,259.0
static-rendezvous-pod-down-01-20260829T033826Z,static-rendezvous,pod-down,1,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.3245725,6.503001349999998,502.26439039,0.0,264.0
static-rendezvous-pod-down-02-20260829T033952Z,static-rendezvous,pod-down,2,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.310897,5.0254395,501.35877120000004,0.0,271.0
static-rendezvous-pod-down-03-20260829T034119Z,static-rendezvous,pod-down,3,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.298549,5.152691749999999,502.4484949,0.0,268.0
